map,record,member,date
CTF-BT-(S)-KnoxStyle][_nmc2,01:23.236,Dylanbro,2014-01-29
CTF-BT-(SA)HaveACigar,24.016,Nightwolf`,2022-10-03
CTF-BT-(SA)Isolated-vF2,51.820,}ElitE{Mike`,2022-09-08
CTF-BT-(SA)Redemption][,02:12.742,fierd_1,2013-10-25
CTF-BT-(SAFe)Decadence(v2fix),02:22.395,Nightwolf`,2014-10-09
CTF-BT-(SAFe)Decadence-vF,02:03.774,Nightwolf`,2014-03-11
CTF-BT-(SAFe)MissionImpossible-v3,32.567,Nightwolf`,2014-09-26
CTF-BT-(SAFe)MissionImpossible-v5,35.355,Nightwolf`,2014-09-26
CTF-BT-(SAFe)Pacey-v4,35.286,Nightwolf`,2022-12-29
CTF-BT-(SAFe)Squalid,01:18.550,Nightwolf`,2014-10-26
CTF-BT-(SC)-Ismail_dbl,25.453,Dylanbro,2017-07-02
CTF-BT-(SG)LavaRun,01:29.715,~DarK~JoJo~,2024-03-06
CTF-BT-(SG)ProkionTemple-v3,01:39.327,~DarK~JoJo~,2025-03-30
CTF-BT-(ShaDiE)Eitje-v3,01:10.591,Nightwolf`,2014-10-03
CTF-BT-(ShaDiE)Jumper,01:26.634,}ElitE{HellFire`,2021-08-29
CTF-BT-(SL)Endurance,05:06.627,~DarK~JoJo~,2023-12-26
CTF-BT-(Slu)OverTheSpace,35.850,~DarK~JoJo~,2024-02-25
CTF-BT-(SM)LandofAlom-vF,02:49.930,}ElitE{Mike`,2021-07-14
CTF-BT-(SM)LandofAlomBL,03:12.004,Nightwolf`,2014-01-21
CTF-BT-(SM)Perfectified,02:01.766,Nightwolf`,2022-04-09
CTF-BT-(SM)Symmetry_i4g,41.202,Nightwolf`,2012-09-07
CTF-BT-(SM-S)Darkside_dbl2,03:20.324,Nightwolf`,2012-08-26
CTF-BT-(sN)CapturedRage,33.978,Dylanbro,2021-10-18
CTF-BT-(SON)BonVoyage-v3,02:40.857,p-a-w-e-l,2021-08-12
CTF-BT-(SON)BunnyBlue,01:03.985,Nightwolf`,2013-05-15
CTF-BT-(SON)Pleasant,02:16.454,}ElitE{Bon,2009-03-28
CTF-BT-(SON)Vortex-vF2,04:08.255,}ElitE{Bon,2016-10-31
CTF-BT-(Spa)WatchYourStep-v2,45.280,Nightwolf`,2017-02-11
CTF-BT-(SpIder)LivingRoom{v3},02:03.038,BlueBalls,2022-09-06
CTF-BT-(Spider)LongestFallEver-i4g,03:53.505,shaihulud,2017-11-15
CTF-BT-(Surf)-Rise-of-the-Pentagram,11.089,Dylanbro,2017-12-25
CTF-BT-(syn)Infuriate-vF,01:26.281,Nightwolf`,2012-11-11
CTF-BT-(syn)Matthirized-v2,42.008,}ElitE{Mike`,2021-07-05
CTF-BT-(syn)Orval-v2,01:58.088,}ElitE{Bon,2022-02-17
CTF-BT-(syn)Shelter,01:38.548,p-a-w-e-l,2021-07-08
CTF-BT-(T)Excentric-v2,48.139,Nightwolf`,2017-07-03
CTF-BT-(T)Reconze,55.659,Nightwolf`,2012-09-09
CTF-BT-(T)Rust-Rush,31.596,Nightwolf`,2022-12-28
CTF-BT-(Tez)Miner,01:03.840,Nightwolf`,2022-10-07
CTF-BT-(Tez)SpaceWalk-v2,50.861,Marmolak,2015-12-31
CTF-BT-(Tez)Termoil,21.732,Nightwolf`,2016-11-09
CTF-BT-(TITCH)HardCore,52.115,}ElitE{Mike`,2018-01-01
CTF-BT-(TITCH)TitaniumPalace,53.198,Dylanbro,2011-03-19
CTF-BT-(Tr-Maz)Rendezvous-fix,38.845,Nightwolf`,2022-12-31
CTF-BT-(TraX)Lavafactory-v2,26.193,~DarK~JoJo~,2025-11-20
CTF-BT-(TTT)-LavaGravity-i4g,47.224,BlueBalls,2022-02-19
CTF-BT-(TTT)EasyRecord-fix,44.118,Nightwolf`,2022-04-26
CTF-BT-(TVS)TheXFiles-v2,41.719,Nightwolf`,2012-10-17
CTF-BT-(UTW)100_for_SneakFreak,05:44.735,OwYeaW,2016-05-04
CTF-BT-(UTW)4parts_dbl,05:38.722,Nightwolf`,2013-04-07
CTF-BT-(UTW)Balea,02:03.504,Nightwolf`,2014-01-21
CTF-BT-(UTW)Bud_Spencer][,02:49.733,p-a-w-e-l,2021-07-23
CTF-BT-(UTW)BunnyBridge][,01:44.275,~DarK~JoJo~,2025-04-08
CTF-BT-(UTW)Canyon][_dbl2,01:59.901,~DarK~JoJo~,2026-01-25
CTF-BT-(UTW)Chichen-Itza,02:03.685,OwYeaW,2017-04-09
CTF-BT-(UTW)CompilaRamses-EZ,09:49.133,OwYeaW,2016-08-29
CTF-BT-(UTW)CompilaRamses][,10:39.290,artur509,2023-04-09
CTF-BT-(UTW)Compilation,06:22.670,p-a-w-e-l,2022-12-18
CTF-BT-(UTW)DodgeWall-fix,06:16.492,~DarK~JoJo~,2025-01-25
CTF-BT-(UTW)DodgeWall-v5,05:30.852,p-a-w-e-l,2021-07-23
CTF-BT-(UTW)ESC-Xtreme,09:23.903,p-a-w-e-l,2022-12-06
CTF-BT-(UTW)EverySecondCounts(Level1),02:58.377,Dylanbro,2022-03-09
CTF-BT-(UTW)EverySecondCounts(Level2)-v2,02:59.654,Dylanbro,2011-12-15
CTF-BT-(UTW)EverySecondCounts(Level3),02:48.146,Dylanbro,2011-12-14
CTF-BT-(UTW)FragMe-vF,01:02.104,fierd_6,2017-06-08
CTF-BT-(UTW)Insignia-v3,04:22.619,}ElitE{Bon,2008-12-18
CTF-BT-(UTW)KeepCool,02:35.722,p-a-w-e-l,2022-12-04
CTF-BT-(UTW)LeftOrRight-v2,38.153,Nightwolf`,2013-05-30
CTF-BT-(UTW)MilitaryFactory,02:25.876,Marmolak,2017-06-28
CTF-BT-(UTW)My_Second_Map-vF,02:01.121,BlueBalls,2022-01-31
CTF-BT-(UTW)Speedster,01:17.180,~DarK~JoJo~,2025-04-08
CTF-BT-(UTW)SpongebobAndPatrick,01:35.097,~DarK~JoJo~,2025-03-30
CTF-BT-(UTW)The_Deep_Fall-EZ-i4g,01:39.079,~DarK~JoJo~,2024-03-17
CTF-BT-(UTW)The_Deep_Fall-i4g,01:56.688,~DarK~JoJo~,2023-12-23
CTF-BT-(UTW)Time-2-Rush,38.075,Nightwolf`,2012-09-26
CTF-BT-(UTW)Tomb_of_Ramses,02:31.587,Nightwolf`,2012-10-20
CTF-BT-(UTW)Towers_dbl2,01:21.885,Dylanbro,2014-01-28
CTF-BT-(UTW)Vitalic][,02:22.801,OwYeaW,2017-04-09
CTF-BT-(UTW)World_War_II,03:04.696,p-a-w-e-l,2021-08-25
CTF-BT-(UTW)Wuhan,01:09.670,p-a-w-e-l,2021-07-24
CTF-BT-(UTW)Xian,01:12.521,p-a-w-e-l,2021-09-17
CTF-BT-(V)JumpAround_fix2,51.778,Dylanbro,2011-09-04
CTF-BT-(V)Lol,30.705,~DarK~JoJo~,2025-02-05
CTF-BT-(V)Perplex,15.106,Nightwolf`,2017-01-07
CTF-BT-(V)Subterranean-vF,41.688,Dylanbro,2015-04-06
CTF-BT-(V)Virile_fix,22.307,}ElitE{HellFire`,2022-10-09
CTF-BT-(W)Climax,48.750,Dylanbro,2012-09-04
CTF-BT-(W)Crap,31.766,Dylanbro,2021-07-26
CTF-BT-(W)Critical-v2,01:17.073,Nightwolf`,2021-08-24
CTF-BT-(W)GTF,38.455,fierd_1,2014-03-06
CTF-BT-(W)KillerBunny-v3,02:00.869,Nightwolf`,2013-06-01
CTF-BT-(W)Newby,26.887,Nightwolf`,2016-11-07
CTF-BT-(W)Rushing,31.170,~DarK~JoJo~,2026-01-09
CTF-BT-(W)So-Close,01:07.036,Nightwolf`,2013-04-06
CTF-BT-(W)Sunspire-v2,01:50.727,fierd_1,2014-03-05
CTF-BT-(W)TombOfEgypt,01:20.571,~DarK~JoJo~,2026-03-12
CTF-BT-(W)Warlord'sCrypt,58.770,}ElitE{HellFire`,2021-09-14
CTF-BT-(W)Warlord'sFactory,01:42.855,Dylanbro,2012-03-20
CTF-BT-(W-B)InSpace_fix,01:27.037,~DarK~JoJo~,2026-01-13
CTF-BT-(wB)BlinDer_i4g,01:14.272,}ElitE{Mike`,2022-03-24
CTF-BT-(wB)NaliStyle!,58.179,Nightwolf`,2021-05-22
CTF-BT-(WM)FastestCap,09.449,Dylanbro,2022-03-26
CTF-BT-(Wolf)StreeBase_dbl,44.272,}ElitE{HellFire`,2022-08-29
CTF-BT-(X-RD)Silence!,01:48.896,~DarK~JoJo~,2025-06-13
CTF-BT-(xqpi)Torhn-i4g,01:17.327,}ElitE{Mike`,2021-07-12
CTF-BT-(XX)CTTT,08.985,}ElitE{Bon,2022-02-06
CTF-BT-(XX)CTTTv2,20.598,BlueBalls,2022-01-23
CTF-BT-(XX)DeepChaos-v2,01:50.179,}ElitE{HellFire`,2017-10-07
CTF-BT-(XX)HotInEgypt,02:05.743,Nightwolf`,2022-04-07
CTF-BT-(XX)HotInEgypt(EV),02:08.931,Nightwolf`,2022-04-07
CTF-BT-(XX)SimpleAndFun-fix,01:06.466,Nightwolf`,2021-10-21
CTF-BT-(XZ)EasyRush[Fixed],29.296,~DarK~JoJo~,2026-02-09
CTF-BT-(z3)1on1-DragRace-i4g-v2,45.977,*WeeDy*,2016-04-23
CTF-BT-(z3)ButtonMapV2,51.676,Nightwolf`,2021-05-06
CTF-BT-(z3)NoobFilter-v2,51.309,Dylanbro,2022-03-08
CTF-BT-(ZC)Ditch-v2,01:35.306,}ElitE{Bon,2008-06-15
CTF-BT-(ZC)GroundZero,01:30.562,Nightwolf`,2014-10-08
CTF-BT-(Zla)Bunny_DukuV3,49.328,~DarK~JoJo~,2026-05-11
CTF-BT-(Zla)XanxStyle,26.935,~DarK~JoJo~,2024-02-11
CTF-BT-)Fun(SyNeRgI,02:27.139,Dylanbro,2013-11-12
CTF-BT-1,49.955,Zla_Bakica,2022-08-08
CTF-BT-10minOFwork_fix2,57.557,Dylanbro,2012-01-16
CTF-BT-11Rooms-v2,01:06.904,Nightwolf`,2012-08-18
CTF-BT-13,02:30.740,~DarK~JoJo~,2025-06-15
CTF-BT-1point4megs-vF,01:15.708,Dylanbro,2012-03-24
CTF-BT-1v2-CF-i4g,29.152,}ElitE{HellFire`,2020-10-01
CTF-BT-26,02:51.149,fierd_1,2013-10-19
CTF-BT-3876,16.140,}ElitE{Bon,2021-08-13
CTF-BT-4838281-V4,01:20.153,Dylanbro,2023-02-05
CTF-BT-4newbzI,16.898,Dylanbro,2021-06-09
CTF-BT-4newbzIIXL-fix,01:34.119,BlueBalls,2022-01-18
CTF-BT-4newbzz-vLO,10.805,Nightwolf`,2022-10-01
CTF-BT-5Min-Level1,11.451,Nightwolf`,2021-03-28
CTF-BT-5Min-Level2,14.317,Nightwolf`,2021-03-09
CTF-BT-5Min-Level3,11.164,Nightwolf`,2021-05-08
CTF-BT-5Min-Level4,11.151,Nightwolf`,2022-03-05
CTF-BT-5Min-Level5,11.681,BlueBalls,2022-06-24
CTF-BT-8-seconds-vF,05.356,julius,2024-07-03
CTF-BT-82Roomsplz_dbl,01:38.408,BlueBalls,2022-01-25
CTF-BT-=Castle_i4g-v2,01:33.056,}ElitE{Bon,2017-06-23
CTF-BT-=Color[Blind]_i4g,37.881,}ElitE{Bon,2022-08-13
CTF-BT-=Destroyed[Bunker]_i4g,01:10.486,Nightwolf`,2014-12-02
CTF-BT-=DSM=-BurnBaby,52.566,Nightwolf`,2017-06-13
CTF-BT-=DSM=-HotStuff,51.732,}ElitE{HellFire`,2018-01-18
CTF-BT-=DSM=-SkillTest-i4g,01:27.522,Nightwolf`,2022-04-06
CTF-BT-=Goblin[Mine]_i4g,01:48.910,Dylanbro,2017-08-17
CTF-BT-=Quest[OF]Time_i4g,01:04.226,Dylanbro,2017-12-13
CTF-BT-[A]-TTF-2,02:36.403,Nightwolf`,2013-04-07
CTF-BT-[A]-TTF-6_fix,02:54.955,Nightwolf`,2013-04-06
CTF-BT-[A]-TTF-7,01:30.664,Nightwolf`,2012-08-18
CTF-BT-[A]-TTF-8_fix2,01:11.758,Nightwolf`,2014-10-17
CTF-BT-[AC]YeOldeSpaceRush-fix,33.436,~DarK~JoJo~,2026-01-26
CTF-BT-[ASL]1BTM-Fix2,01:27.129,}ElitE{Bon,2020-10-16
CTF-BT-[BLK]-PsychedelicWorld,02:27.128,Nightwolf`,2022-04-07
CTF-BT-[BLK]-RelaxAndCap-fix,01:11.852,Nightwolf`,2021-08-24
CTF-BT-[C]-TTF-0,01:49.272,Nightwolf`,2013-06-03
CTF-BT-[C]-TTF-1_fix,01:41.645,}ElitE{Mike`,2022-03-01
CTF-BT-[DQ]-Flooded,27.929,}ElitE{Mike`,2022-09-03
CTF-BT-[DQ]Foundry,41.339,Dylanbro,2021-06-12
CTF-BT-[DQ]OutOfStock-v2,37.914,Nightwolf`,2017-01-28
CTF-BT-[DQ]Smileys!,01:17.054,Dylanbro,2017-10-08
CTF-BT-[DQ]Smileys-HV-dbl3,02:58.156,~DarK~JoJo~,2025-01-21
CTF-BT-[DRK]INSOMNIA][-dbl,46.980,Nightwolf`,2017-08-05
CTF-BT-[H&S]Fun_i4g,01:03.060,}ElitE{Mike`,2014-03-15
CTF-BT-[LUN]CastleWallsV2,01:06.793,Nightwolf`,2022-04-09
CTF-BT-[LUN]Citadel,01:10.420,Nightwolf`,2022-11-02
CTF-BT-[LUN]CoffeeBreakMap,24.986,~DarK~JoJo~,2024-03-23
CTF-BT-[LUN]ConcreteDepthV2,58.788,Nightwolf`,2022-11-03
CTF-BT-[LUN]DestructedBase,35.303,~DarK~JoJo~,2026-03-05
CTF-BT-[LUN]Dungeon,02:40.408,~DarK~JoJo~,2024-02-14
CTF-BT-[LUN]EverwaveV2,02:37.432,~DarK~JoJo~,2024-03-02
CTF-BT-[LUN]Inaros,01:22.452,Nightwolf`,2022-11-03
CTF-BT-[LUN]Metroid,49.393,~DarK~JoJo~,2024-01-17
CTF-BT-[LUN]Necropolis,01:42.143,Nightwolf`,2022-04-09
CTF-BT-[LUN]OverLoadV4,01:41.917,Nightwolf`,2022-04-29
CTF-BT-[LUN]Sewers,01:12.580,~DarK~JoJo~,2024-02-19
CTF-BT-[LUN]SkyWarpV2,01:02.945,~DarK~JoJo~,2024-01-20
CTF-BT-[LUN]StoneRidersV2,01:10.050,Nightwolf`,2022-04-09
CTF-BT-[SFC]JumpPad-fix2,46.856,OwYeaW,2016-05-17
CTF-BT-[T-BIG]-Egout_city_dbl,01:39.764,Dylanbro,2011-12-29
CTF-BT-[T-BiG]Egypte-dbl,01:06.162,Dylanbro,2017-11-11
CTF-BT-[T-BiG]Escalier-fix-vf3,02:00.529,p-a-w-e-l,2021-07-24
CTF-BT-[T-BiG]M4xPP-fix,41.226,Nightwolf`,2022-04-07
CTF-BT-[T-BiG]Px003-fix,40.400,Nightwolf`,2022-04-20
CTF-BT-[TBiG]Gallery-SE-fix,11.550,}ElitE{HellFire`,2020-10-01
CTF-BT-[U-U]-AgainstBoss_fix2,01:12.816,Nightwolf`,2012-08-22
CTF-BT-[U-U]-Lives_vF2,28.275,Dylanbro,2017-07-03
CTF-BT-[U-U]-Scope-v2,42.060,}ElitE{Mike`,2017-01-02
CTF-BT-[U-U]-TehFactory,35.018,Nightwolf`,2013-10-14
CTF-BT-[U-U]-TotalNoobish,01:12.912,~DarK~JoJo~,2025-04-30
CTF-BT-[u4g]Corridors_EvE-fix,50.488,OwYeaW,2021-11-07
CTF-BT-[u4g]CrystalTomb_EvE-fixed,01:07.312,Nightwolf`,2021-12-11
CTF-BT-[u4g]LabyrinthV2,02:11.681,}ElitE{Bon,2011-05-15
CTF-BT-[u4g]WarpSequence_dbl,03:36.706,Nightwolf`,2022-03-20
CTF-BT-[u4g]x08EvE80x,01:17.023,Dylanbro,2022-11-06
CTF-BT-[VALDE]-n00b_skillz,28.992,~DarK~JoJo~,2026-01-08
CTF-BT-[ZL]6Places-v4,01:48.892,Dylanbro,2012-07-29
CTF-BT-[ZL]Aryx2000,26.154,}ElitE{HellFire`,2017-06-22
CTF-BT-[ZL]Avange-Practice,32.797,}ElitE{HellFire`,2020-08-22
CTF-BT-[ZL]BaByLoN-v3,01:48.244,p-a-w-e-l,2021-09-15
CTF-BT-[ZL]BunnyTrain-v2,53.729,Zla_Bakica,2022-03-18
CTF-BT-[ZL]Crypt-v2,01:07.418,}ElitE{HellFire`,2020-09-13
CTF-BT-[ZL]DeathChamber-v2,01:06.022,Nightwolf`,2017-01-29
CTF-BT-[ZL]FastEgypt-v2,35.513,Dylanbro,2021-10-23
CTF-BT-[ZL]Jumper-v2,01:09.295,Nightwolf`,2017-01-28
CTF-BT-[ZL]Movers,01:49.711,Nightwolf`,2013-04-22
CTF-BT-[ZL]Noobs-v2,29.840,Nightwolf`,2022-12-29
CTF-BT-[ZL]Rednex,01:02.365,Dylanbro,2022-01-29
CTF-BT-[ZL]SideDodge,42.340,Nightwolf`,2012-08-16
CTF-BT-[ZL]SlidingToTheHell-v3,16.330,Nightwolf`,2016-11-09
CTF-BT-[ZL]SmallAndDangerous,54.782,Nightwolf`,2017-06-28
CTF-BT-[ZL]WTF,35.440,p-a-w-e-l,2021-08-25
CTF-BT-]I3unnYs][Castle[v3,01:14.413,Nightwolf`,2017-06-13
CTF-BT-]TKK[ChamberlyFirstMapv2,05.458,}ElitE{HellFire`,2016-08-09
CTF-BT-A'World-fix,02:08.334,BlueBalls,2022-02-08
CTF-BT-A-Desolate-Place,16.384,Nightwolf`,2022-10-21
CTF-BT-A-Little-Fun-[z1]-Fix2,16.200,Nightwolf`,2022-04-13
CTF-BT-A109-Jump!!,11.540,Nightwolf`,2022-03-11
CTF-BT-A1Breakout_i4g,01:40.685,Dylanbro,2012-09-23
CTF-BT-A1CityUnit_i4g,52.504,Nightwolf`,2013-10-15
CTF-BT-A1ColdFusion-dbl,02:08.060,p-a-w-e-l,2021-07-11
CTF-BT-A1LostFactoryCB2,01:03.468,Dylanbro,2017-11-26
CTF-BT-A1Mission-GoldenStatue,02:03.527,}ElitE{Bon,2021-05-28
CTF-BT-A1TwoD,44.667,}ElitE{Bon,2018-01-03
CTF-BT-A69A-AnC13nT_dbl,34.073,}ElitE{Mike`,2023-03-18
CTF-BT-A69A-goRz_dbl,01:26.326,Dylanbro,2012-12-15
CTF-BT-A69A-Sh1t-FactoRy_dbl,44.238,Dylanbro,2021-07-01
CTF-BT-A69A-SpaceTower-B_dbl,56.740,Dylanbro,2021-08-20
CTF-BT-Abandoned,01:02.527,Nightwolf`,2022-04-25
CTF-BT-AbandonedHallwayfix,01:41.571,}ElitE{Bon,2021-07-04
CTF-BT-AbateV3,01:04.440,}ElitE{Bon,2022-10-23
CTF-BT-Abbozzo-v2,01:04.553,~DarK~JoJo~,2026-01-25
CTF-BT-Abomination-v2,04:09.485,~DarK~JoJo~,2026-02-05
CTF-BT-Absolution-v3,01:06.350,}ElitE{Bon,2016-12-09
CTF-BT-Absolution][,02:26.038,}ElitE{Bon,2011-07-11
CTF-BT-Abstract-i4g-v2,35.879,}ElitE{HellFire`,2019-08-08
CTF-BT-Abydos,02:11.031,Dylanbro,2013-05-28
CTF-BT-Accident-fix,01:30.986,Dylanbro,2022-03-25
CTF-BT-AcidFactory,01:23.841,BlueBalls,2021-12-30
CTF-BT-Adeon-Factory,02:27.541,Dylanbro,2022-04-01
CTF-BT-Adeon-Factory-II,01:47.521,Dylanbro,2022-03-02
CTF-BT-Adminfun,13.353,Nightwolf`,2017-01-02
CTF-BT-AdmiralSlut(fixed),21.256,Nightwolf`,2017-06-19
CTF-BT-Adronis,22.761,Dylanbro,2024-01-07
CTF-BT-Ae750(v2),35.570,}ElitE{Bon,2022-02-14
CTF-BT-AerialCB,48.653,BlueBalls,2021-10-23
CTF-BT-Aeron,01:51.560,Dylanbro,2017-08-03
CTF-BT-Affinity-V2,02:12.272,Nightwolf`,2022-04-01
CTF-BT-Afflict-fix1,45.861,fierd_6,2018-10-09
CTF-BT-Afflictionv2,01:12.073,Marmolak,2020-03-16
CTF-BT-Afterburn-fix,39.462,Nightwolf`,2021-05-09
CTF-BT-Aftermath,01:33.407,Nightwolf`,2012-08-02
CTF-BT-AgonyRush-v2,27.703,Nightwolf`,2022-03-04
CTF-BT-Airlok][-V3,02:48.013,p-a-w-e-l,2023-02-06
CTF-BT-AirlokV2,01:20.211,Dylanbro,2022-01-22
CTF-BT-AkkadiaV3,01:30.315,BlueBalls,2022-05-20
CTF-BT-Aklabash_v2,01:57.823,~DarK~JoJo~,2025-04-06
CTF-BT-Alcatras,01:15.805,Dylanbro,2013-04-22
CTF-BT-Alchemist-v2_dbl,01:21.968,~DarK~JoJo~,2024-03-13
CTF-BT-Aleria,01:28.170,}ElitE{HellFire`,2022-09-14
CTF-BT-Alien-Compound,01:00.386,Nightwolf`,2013-05-19
CTF-BT-Alientraining-EZ-fix,34.993,}ElitE{Mike`,2020-11-04
CTF-BT-AlienTraining-v2d,37.205,}ElitE{Bon,2020-11-04
CTF-BT-ALilBitNuts_dbl,20.790,}ElitE{HellFire`,2019-08-23
CTF-BT-All-fix,02:24.514,~DarK~JoJo~,2024-01-20
CTF-BT-All][I][Ever][Wanted],57.498,}ElitE{Mike`,2022-09-29
CTF-BT-Allied_fix,40.133,Nightwolf`,2023-01-04
CTF-BT-Altercation,01:08.884,OwYeaW,2021-10-24
CTF-BT-AlternatePlacesV2,04:45.552,~DarK~JoJo~,2025-01-27
CTF-BT-AlumutV2,01:53.103,Dylanbro,2022-03-01
CTF-BT-Amun,01:44.750,Nightwolf`,2013-10-08
CTF-BT-Ancient-Otherworld-V2,01:35.803,}ElitE{HellFire`,2012-10-20
CTF-BT-Ancient-Rush,53.262,~DarK~JoJo~,2026-05-13
CTF-BT-Ancient-Rush-Reloaded,01:20.151,Nightwolf`,2022-04-26
CTF-BT-Ancient_fix,24.465,Nightwolf`,2022-03-09
CTF-BT-AncientAction-v2,58.126,Nightwolf`,2013-04-19
CTF-BT-AncientLost_i4g_v2,42.618,}ElitE{Bon,2010-01-11
CTF-BT-AncientRuins-VF_fix,02:25.393,p-a-w-e-l,2021-09-20
CTF-BT-AncientRun,01:32.997,~DarK~JoJo~,2024-01-23
CTF-BT-Ancienttempleitsadam-v2,53.530,BlueBalls,2021-10-22
CTF-BT-Ancrelent,01:11.459,Dylanbro,2021-12-04
CTF-BT-andACTION-dbl,07.021,BlueBalls,2023-01-21
CTF-BT-AneurysmFINAL,48.952,Nightwolf`,2022-04-21
CTF-BT-Anghellic,03:12.539,p-a-w-e-l,2022-11-04
CTF-BT-AnimeWorld,03:02.872,BlueBalls,2021-11-29
CTF-BT-AnIntroToBT-fix,34.196,~DarK~JoJo~,2025-04-16
CTF-BT-AnnanC_vF3,01:38.269,Nightwolf`,2022-04-12
CTF-BT-AnOdyssey-EZ_fix,01:08.910,BlueBalls,2022-09-14
CTF-BT-Another,03:31.499,}ElitE{Bon,2010-08-31
CTF-BT-Antecedent,02:47.367,Nightwolf`,2022-04-04
CTF-BT-Antique-v2,55.139,Nightwolf`,2013-04-19
CTF-BT-Antithesisv2,01:08.833,BlueBalls,2021-12-27
CTF-BT-AoB-BunnyTrip-fix,01:44.629,p-a-w-e-l,2022-12-18
CTF-BT-AoB-FFS,38.676,Nightwolf`,2022-12-31
CTF-BT-AoB-Seguro-dbl,54.475,Dylanbro,2021-11-01
CTF-BT-Aperture,03:34.771,artur509,2023-04-21
CTF-BT-Apocalypse-v2,01:28.286,Nightwolf`,2022-04-02
CTF-BT-Apocalypto-v2,02:15.855,Nightwolf`,2021-08-11
CTF-BT-Apocryphal,02:01.747,Ensiferum,2021-11-13
CTF-BT-ApokryteinV3,37.227,~DarK~JoJo~,2024-02-11
CTF-BT-ApproachV3,01:33.489,fierd_1,2015-01-28
CTF-BT-ArboriaV3,01:07.002,}ElitE{Bon,2021-11-14
CTF-BT-ArcaneBunny,26.369,Dylanbro,2021-06-06
CTF-BT-ArcaneTemple-dbl,49.964,Dylanbro,2013-05-28
CTF-BT-Archaeology,04:06.144,Nightwolf`,2012-09-20
CTF-BT-Ardon,01:21.920,}ElitE{HellFire`,2021-09-11
CTF-BT-Area21,01:03.219,Nightwolf`,2019-05-10
CTF-BT-ARG=V1=_fix2,49.205,Nightwolf`,2012-10-14
CTF-BT-Aristocratic-vF,01:00.610,Nightwolf`,2014-10-04
CTF-BT-ARKaneEZ-FIX,05:27.166,artur509,2024-03-29
CTF-BT-ARKaneVF-FIX,05:09.948,fierd_3,2021-06-16
CTF-BT-ArM00geddon_fix,01:08.114,}ElitE{Bon,2021-07-09
CTF-BT-Around_the_buttons,14.823,~DarK~JoJo~,2025-01-21
CTF-BT-ArrowCrypt_fix,01:14.082,Nightwolf`,2022-04-25
CTF-BT-ArticFantasy][,02:58.096,Dylanbro,2012-06-13
CTF-BT-ArtifactV5,01:40.010,TDN-Berserker,2020-08-12
CTF-BT-AscaphosV3,02:17.185,BlueBalls,2022-10-29
CTF-BT-Ascendant,02:44.089,OwYeaW,2016-10-13
CTF-BT-ASSWAX_FIX2,01:26.926,BlueBalls,2022-02-06
CTF-BT-AstridCB,01:42.663,Nightwolf`,2022-10-18
CTF-BT-Asylum,01:01.746,fierd_3,2012-11-20
CTF-BT-Asylum][,01:45.397,Dylanbro,2022-03-25
CTF-BT-Asymmetric,01:11.018,fierd_6,2016-04-25
CTF-BT-AthleticInAir,48.229,Dylanbro,2019-07-14
CTF-BT-Atlantis,01:00.874,Dylanbro,2022-01-08
CTF-BT-AttackIsBack-v3,21.838,Nightwolf`,2022-10-20
CTF-BT-AttackWithLava,01:13.236,}ElitE{HellFire`,2019-08-25
CTF-BT-Aurignal_FIX,01:12.219,Dylanbro,2012-10-18
CTF-BT-Auronsiginal,01:54.108,Dylanbro,2012-10-18
CTF-BT-Aurora,16.630,Nightwolf`,2017-01-13
CTF-BT-Avalandor,02:47.847,}ElitE{Mike`,2021-07-06
CTF-BT-Average_i4g,36.813,Dylanbro,2016-11-27
CTF-BT-Awash-v4,01:00.796,Nightwolf`,2021-04-11
CTF-BT-Ayumi_v2,03:26.379,~DarK~JoJo~,2024-01-30
CTF-BT-Aztec,02:11.393,Nightwolf`,2022-03-21
CTF-BT-AzurePalace,01:06.743,Dylanbro,2023-01-31
CTF-BT-B-Base,48.326,Nightwolf`,2013-09-21
CTF-BT-B][G-DacianFalx-fix,01:05.723,}ElitE{Bon,2020-11-05
CTF-BT-BackOnMars-V1,01:15.172,BlueBalls,2021-12-22
CTF-BT-Backrooms,01:59.282,~DarK~JoJo~,2023-12-28
CTF-BT-BackToBasics-v2,02:00.089,Nightwolf`,2022-04-20
CTF-BT-BamboozledBunneeJumper_dbl,01:02.747,Nightwolf`,2012-08-21
CTF-BT-BananacaekV2,41.359,}ElitE{Bon,2021-09-07
CTF-BT-Bananas-v2,01:37.167,Nightwolf`,2014-10-19
CTF-BT-BaNdIt_dbl,01:01.419,Nightwolf`,2013-05-19
CTF-BT-BangingHeadvFinal,47.535,Dylanbro,2008-10-29
CTF-BT-BaseOfSpeed-vF,27.905,Nightwolf`,2017-08-11
CTF-BT-BaseOnMars,50.556,Nightwolf`,2012-11-07
CTF-BT-Basix,44.358,}ElitE{Bon,2012-11-04
CTF-BT-Bastion][V25,02:41.844,}ElitE{Bon,2020-04-03
CTF-BT-BastionV3,01:15.861,Dylanbro,2021-07-03
CTF-BT-Battle-fix,34.688,Dylanbro,2015-01-18
CTF-BT-BazaarV3,48.683,Dylanbro,2021-08-21
CTF-BT-BeamVF,01:52.707,~DarK~JoJo~,2025-01-29
CTF-BT-Beasttex_fix,03:53.585,Dylanbro,2014-10-22
CTF-BT-Bedroom-v2,01:00.642,Nightwolf`,2013-09-21
